id,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,to_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,Car_Cancellation
132512,22177,28,NULL,2,83,448,NULL,NULL,1/1/2013 2:00,NULL,0,0,1/1/2013 1:39,12.92415,77.67229,12.92732,77.63575,0
132513,21413,12,NULL,2,1010,540,NULL,NULL,1/1/2013 9:00,NULL,0,0,1/1/2013 2:25,12.96691,77.74935,12.92768,77.62664,0
132514,22178,12,NULL,2,1301,1034,NULL,NULL,1/1/2013 3:30,NULL,0,0,1/1/2013 3:08,12.937222,77.626915,13.047926,77.597766,0
132515,13034,12,NULL,2,768,398,NULL,NULL,1/1/2013 5:45,NULL,0,0,1/1/2013 4:39,12.98999,77.55332,12.97143,77.63914,0
132517,22180,12,NULL,2,1365,849,NULL,NULL,1/1/2013 9:00,NULL,0,0,1/1/2013 7:53,12.845653,77.677925,12.95434,77.60072,0
132518,17712,12,NULL,2,1021,1323,NULL,NULL,1/1/2013 22:30,NULL,0,0,1/1/2013 8:01,13.02853,77.54625,12.869805,77.653211,0
132519,22172,12,NULL,1,571,NULL,15,108,1/1/2013 9:45,1/1/2013 9:45,0,0,1/1/2013 9:21,12.95185,77.69642,NULL,NULL,0
132520,22181,12,NULL,2,1192,832,NULL,NULL,1/1/2013 11:00,NULL,0,0,1/1/2013 9:39,12.97677,77.5727,12.88019,77.64558,0
132521,22182,65,2,3,448,NULL,NULL,NULL,1/1/2013 16:00,NULL,0,0,1/1/2013 9:44,12.92732,77.63575,NULL,NULL,0
132522,22184,12,NULL,2,516,376,NULL,NULL,1/1/2013 11:00,NULL,0,0,1/1/2013 9:49,13.0056,77.65799,12.90245,77.66081,0
132523,4941,12,NULL,2,150,776,NULL,NULL,1/1/2013 11:00,NULL,0,0,1/1/2013 9:55,12.89724,77.61065,13.01508,77.67796,0
132524,17037,12,NULL,2,455,1330,NULL,NULL,1/1/2013 12:45,NULL,0,0,1/1/2013 9:59,12.999874,77.67812,12.953434,77.70651,0
132525,22185,12,NULL,2,1166,1328,NULL,NULL,1/1/2013 12:30,NULL,0,0,1/1/2013 10:18,12.997198,77.669514,12.958808,77.649047,0
132526,22186,12,NULL,2,793,590,NULL,NULL,1/1/2013 12:45,NULL,0,0,1/1/2013 11:17,13.02239,77.59492,13.00826,77.56433,0
132527,16,28,NULL,2,1063,58,NULL,NULL,1/1/2013 15:00,NULL,1,0,1/1/2013 11:48,12.934477,77.611284,12.88963,77.60119,0
132528,15097,12,NULL,2,1102,292,NULL,NULL,1/2/2013 2:00,NULL,0,0,1/1/2013 11:52,12.93652,77.54481,12.93944,77.62923,0
132530,761,12,NULL,2,814,393,NULL,NULL,1/2/2013 0:30,1/3/2013 0:00,1,0,1/1/2013 12:14,12.908993,77.6889,13.19956,77.70688,0
132531,22189,24,NULL,1,1383,NULL,NULL,32,1/12/2013 8:00,1/14/2013 0:00,1,0,1/1/2013 12:17,12.930451,77.685822,NULL,NULL,0
132533,17226,12,NULL,2,1353,585,NULL,NULL,1/1/2013 16:00,NULL,0,0,1/1/2013 12:28,12.966545,77.711639,12.97677,77.5727,0
132534,868,12,NULL,2,297,212,NULL,NULL,1/1/2013 13:15,NULL,0,0,1/1/2013 12:42,12.99789,77.61488,12.99474,77.60797,0
132535,22190,87,2,3,471,NULL,NULL,NULL,1/1/2013 14:30,NULL,0,0,1/1/2013 12:52,13.01854,77.63524,NULL,NULL,0
132536,16,28,NULL,2,58,1063,NULL,NULL,1/1/2013 18:30,NULL,1,0,1/1/2013 13:40,12.88963,77.60119,12.934477,77.611284,1
132537,21558,12,NULL,2,540,409,NULL,NULL,1/1/2013 16:00,NULL,1,0,1/1/2013 13:50,12.92768,77.62664,13.07746,77.60668,0
132538,21995,12,1,3,1286,NULL,NULL,NULL,1/1/2013 16:30,NULL,0,0,1/1/2013 14:39,12.973448,77.62032,NULL,NULL,0
132539,22192,54,NULL,1,515,NULL,15,32,1/5/2013 8:30,1/5/2013 0:00,0,0,1/1/2013 14:40,12.97896,77.67345,NULL,NULL,0
132540,22193,12,NULL,2,142,393,NULL,NULL,1/1/2013 17:00,NULL,1,0,1/1/2013 14:56,12.91281,77.60923,13.19956,77.70688,0
132541,20430,12,NULL,2,393,61,NULL,NULL,1/2/2013 20:00,NULL,0,0,1/1/2013 15:02,13.19956,77.70688,12.96298,77.71229,0
132542,22194,12,NULL,2,89,585,NULL,NULL,1/1/2013 20:30,NULL,0,0,1/1/2013 15:07,12.96519,77.71932,12.97677,77.5727,0
132543,21716,28,NULL,2,1237,330,NULL,NULL,1/1/2013 16:30,NULL,0,0,1/1/2013 15:07,12.92645,77.61206,12.858833,77.589127,0
132544,38966,12,NULL,2,61,393,NULL,NULL,1/1/2013 18:00,NULL,0,0,1/1/2013 15:11,12.96298,77.71229,13.19956,77.70688,0
132545,12973,12,NULL,2,137,1068,NULL,NULL,1/2/2013 7:00,NULL,0,0,1/1/2013 15:39,12.81575,77.68465,13.044009,77.606805,0
132546,22196,12,NULL,2,409,1194,NULL,NULL,1/1/2013 16:15,NULL,0,0,1/1/2013 15:40,13.07746,77.60668,13.00446,77.56923,0
132550,8327,12,NULL,2,1062,1010,NULL,NULL,1/2/2013 8:00,NULL,0,0,1/1/2013 17:16,13.059784,77.609219,12.96691,77.74935,0
132551,22200,12,NULL,2,1371,839,NULL,NULL,1/2/2013 10:30,NULL,1,0,1/1/2013 17:21,13.000418,77.674835,12.85773,77.78642,0
132552,22201,12,1,3,1323,NULL,NULL,NULL,1/1/2013 20:00,1/1/2013 0:00,1,0,1/1/2013 17:25,12.869805,77.653211,NULL,NULL,0
132553,22202,12,NULL,2,1017,496,NULL,NULL,1/2/2013 5:00,NULL,0,0,1/1/2013 17:30,13.11084,77.60074,13.05845,77.64075,0
132555,20340,12,NULL,2,793,393,NULL,NULL,1/2/2013 8:00,NULL,0,0,1/1/2013 17:41,13.02239,77.59492,13.19956,77.70688,0
132556,97,12,NULL,2,168,571,NULL,NULL,1/2/2013 5:30,NULL,0,0,1/1/2013 17:54,12.99313,77.59828,12.95185,77.69642,0
132557,22203,12,NULL,2,1373,1390,NULL,NULL,1/1/2013 18:30,NULL,0,0,1/1/2013 17:54,13.037255,77.58166,12.969368,77.641302,0
132558,26940,28,NULL,2,373,1384,NULL,NULL,1/1/2013 21:30,NULL,1,0,1/1/2013 18:04,12.87153,77.60206,13.02853,77.54625,0
132559,22206,12,NULL,2,413,1270,NULL,NULL,1/1/2013 21:30,NULL,0,0,1/1/2013 18:14,12.92171,77.59017,12.921772,77.620358,0
132561,819,12,NULL,2,1323,585,NULL,NULL,1/2/2013 16:00,NULL,1,0,1/1/2013 18:38,12.869805,77.653211,12.97677,77.5727,0
132563,22208,12,NULL,2,516,571,NULL,NULL,1/2/2013 7:00,NULL,0,0,1/1/2013 18:52,13.0056,77.65799,12.95185,77.69642,0
132564,17905,12,NULL,2,571,393,NULL,NULL,1/2/2013 3:00,NULL,0,0,1/1/2013 19:00,12.95185,77.69642,13.19956,77.70688,0
132566,403,12,NULL,2,1192,83,NULL,NULL,1/2/2013 7:15,NULL,0,0,1/1/2013 19:04,12.97677,77.5727,12.92415,77.67229,0
132567,22209,12,NULL,2,1323,1021,NULL,NULL,1/1/2013 21:30,NULL,0,0,1/1/2013 19:09,12.869805,77.653211,13.02853,77.54625,0
132568,22210,12,NULL,2,974,793,NULL,NULL,1/1/2013 20:45,NULL,0,0,1/1/2013 19:29,13.07557,77.55904,13.02239,77.59492,0
132569,15846,12,2,3,142,NULL,NULL,NULL,1/2/2013 3:00,NULL,0,0,1/1/2013 19:37,12.91281,77.60923,NULL,NULL,0
132570,22211,65,NULL,2,393,1075,NULL,NULL,1/1/2013 22:15,NULL,0,0,1/1/2013 19:39,13.19956,77.70688,12.973464,77.618473,0
132571,22212,12,NULL,2,393,1010,NULL,NULL,1/2/2013 13:30,NULL,0,0,1/1/2013 19:50,13.19956,77.70688,12.96691,77.74935,0
132572,3859,12,NULL,2,1374,363,NULL,NULL,1/2/2013 6:30,NULL,1,0,1/1/2013 20:13,13.02607,77.538196,12.99287,77.71662,0
132573,22213,65,NULL,2,1192,1153,NULL,NULL,1/2/2013 6:00,NULL,1,0,1/1/2013 20:14,12.97677,77.5727,12.87153,77.60206,0
132574,22214,12,NULL,2,271,186,NULL,NULL,1/2/2013 12:00,NULL,1,0,1/1/2013 20:23,12.95641,77.64076,12.80257,77.70453,0
132576,3316,24,NULL,2,58,393,NULL,NULL,1/2/2013 17:30,NULL,0,0,1/1/2013 20:39,12.88963,77.60119,13.19956,77.70688,0
132577,39439,12,NULL,2,89,393,NULL,NULL,1/2/2013 7:00,NULL,0,0,1/1/2013 20:42,12.96519,77.71932,13.19956,77.70688,0
132578,22216,12,NULL,2,1136,393,NULL,NULL,1/2/2013 13:30,NULL,1,0,1/1/2013 20:43,12.99049,77.69798,13.19956,77.70688,0
132579,22217,12,NULL,2,1033,1189,NULL,NULL,1/1/2013 22:45,NULL,0,0,1/1/2013 20:59,12.906358,77.599547,12.91873,77.61494,0
132580,19469,85,NULL,2,393,392,NULL,NULL,1/2/2013 12:15,NULL,0,0,1/1/2013 21:04,13.19956,77.70688,12.986284,77.735245,0
132581,15815,12,NULL,2,145,871,NULL,NULL,1/2/2013 8:15,NULL,0,0,1/1/2013 21:31,12.99067,77.65587,12.98712,77.56624,0
132583,21903,12,NULL,2,1384,1053,NULL,NULL,1/2/2013 6:15,NULL,1,0,1/1/2013 21:54,13.02853,77.54625,12.912799,77.589784,0
132585,19545,12,NULL,2,105,1068,NULL,NULL,1/2/2013 10:30,NULL,0,0,1/1/2013 22:18,13.01766,77.64503,13.044009,77.606805,0
132587,7500,12,NULL,2,112,393,NULL,NULL,1/2/2013 8:45,NULL,0,0,1/1/2013 22:41,12.93331,77.56666,13.19956,77.70688,0
132588,22221,12,NULL,2,1037,393,NULL,NULL,1/2/2013 7:00,NULL,0,0,1/1/2013 23:09,12.934048,77.580568,13.19956,77.70688,0
